Rep	Year	RepSeason	x	y	Species	NInd
0	0	0	43	86	0	1000
0	0	0	44	86	0	1000
0	0	0	45	86	0	1000
0	0	0	46	86	0	1000
0	0	0	47	86	0	1000
0	0	0	48	86	0	1000
0	0	0	49	86	0	1000
0	0	0	50	86	0	1000
0	0	0	51	86	0	1000
0	0	0	52	86	0	1000
0	0	0	53	86	0	1000
0	0	0	54	86	0	1000
0	0	0	55	86	0	1000
0	0	0	56	86	0	1000
0	0	0	57	86	0	1000
0	0	0	58	86	0	1000
0	0	0	59	86	0	1000
0	0	0	60	86	0	1000
0	0	0	61	86	0	1000
0	0	0	62	86	0	1000
0	0	0	63	86	0	1000
0	0	0	64	86	0	1000
0	0	0	65	86	0	1000
0	0	0	66	86	0	1000
0	0	0	67	86	0	1000
0	0	0	68	86	0	1000
0	0	0	69	86	0	1000
0	0	0	70	86	0	1000
0	0	0	71	86	0	1000
0	0	0	72	86	0	1000
0	0	0	73	86	0	1000
0	0	0	74	86	0	1000
0	0	0	75	86	0	1000
0	0	0	76	86	0	1000
0	0	0	77	86	0	1000
0	0	0	78	86	0	1000
0	0	0	79	86	0	1000
0	0	0	80	86	0	1000
0	0	0	81	86	0	1000
0	0	0	82	86	0	1000
0	0	0	83	86	0	1000
0	0	0	117	86	0	1000
0	0	0	118	86	0	1000
0	0	0	119	86	0	1000
0	0	0	120	86	0	1000
0	0	0	121	86	0	1000
0	0	0	122	86	0	1000
0	0	0	137	86	0	1000
0	0	0	40	85	0	1000
0	0	0	41	85	0	1000
0	0	0	42	85	0	1000
0	0	0	43	85	0	1000
0	0	0	44	85	0	1000
0	0	0	45	85	0	1000
0	0	0	46	85	0	1000
0	0	0	47	85	0	1000
0	0	0	48	85	0	1000
0	0	0	49	85	0	1000
0	0	0	50	85	0	1000
0	0	0	51	85	0	1000
0	0	0	52	85	0	1000
0	0	0	53	85	0	1000
0	0	0	54	85	0	1000
0	0	0	55	85	0	1000
0	0	0	56	85	0	1000
0	0	0	57	85	0	1000
0	0	0	58	85	0	1000
0	0	0	59	85	0	1000
0	0	0	60	85	0	1000
0	0	0	61	85	0	1000
0	0	0	62	85	0	1000
0	0	0	63	85	0	1000
0	0	0	64	85	0	1000
0	0	0	65	85	0	1000
0	0	0	66	85	0	1000
0	0	0	67	85	0	1000
0	0	0	68	85	0	1000
0	0	0	69	85	0	1000
0	0	0	70	85	0	1000
0	0	0	71	85	0	1000
0	0	0	72	85	0	1000
0	0	0	73	85	0	1000
0	0	0	74	85	0	1000
0	0	0	75	85	0	1000
0	0	0	76	85	0	1000
0	0	0	77	85	0	1000
0	0	0	78	85	0	1000
0	0	0	79	85	0	1000
0	0	0	80	85	0	1000
0	0	0	81	85	0	1000
0	0	0	82	85	0	1000
0	0	0	83	85	0	1000
0	0	0	95	85	0	1000
0	0	0	96	85	0	1000
0	0	0	97	85	0	1000
0	0	0	98	85	0	1000
0	0	0	99	85	0	1000
0	0	0	100	85	0	1000
0	0	0	101	85	0	1000
0	0	0	102	85	0	1000
0	0	0	103	85	0	1000
0	0	0	106	85	0	1000
0	0	0	112	85	0	1000
0	0	0	113	85	0	1000
0	0	0	114	85	0	1000
0	0	0	115	85	0	1000
0	0	0	116	85	0	1000
0	0	0	117	85	0	1000
0	0	0	118	85	0	1000
0	0	0	119	85	0	1000
0	0	0	120	85	0	1000
0	0	0	121	85	0	1000
0	0	0	122	85	0	1000
0	0	0	127	85	0	1000
0	0	0	128	85	0	1000
0	0	0	129	85	0	1000
0	0	0	135	85	0	1000
0	0	0	136	85	0	1000
0	0	0	137	85	0	1000
0	0	0	138	85	0	1000
0	0	0	139	85	0	1000
0	0	0	33	84	0	1000
0	0	0	34	84	0	1000
0	0	0	37	84	0	1000
0	0	0	38	84	0	1000
0	0	0	39	84	0	1000
0	0	0	40	84	0	1000
0	0	0	41	84	0	1000
0	0	0	42	84	0	1000
0	0	0	43	84	0	1000
0	0	0	44	84	0	1000
0	0	0	45	84	0	1000
0	0	0	46	84	0	1000
0	0	0	47	84	0	1000
0	0	0	48	84	0	1000
0	0	0	49	84	0	1000
0	0	0	50	84	0	1000
0	0	0	51	84	0	1000
0	0	0	52	84	0	1000
0	0	0	53	84	0	1000
0	0	0	54	84	0	1000
0	0	0	55	84	0	1000
0	0	0	56	84	0	1000
0	0	0	57	84	0	1000
0	0	0	58	84	0	1000
0	0	0	59	84	0	1000
0	0	0	60	84	0	1000
0	0	0	61	84	0	1000
0	0	0	62	84	0	1000
0	0	0	63	84	0	1000
0	0	0	64	84	0	1000
0	0	0	65	84	0	1000
0	0	0	66	84	0	1000
0	0	0	67	84	0	1000
0	0	0	68	84	0	1000
0	0	0	69	84	0	1000
0	0	0	70	84	0	1000
0	0	0	71	84	0	1000
0	0	0	72	84	0	1000
0	0	0	73	84	0	1000
0	0	0	74	84	0	1000
0	0	0	75	84	0	1000
0	0	0	76	84	0	1000
0	0	0	77	84	0	1000
0	0	0	78	84	0	1000
0	0	0	79	84	0	1000
0	0	0	80	84	0	1000
0	0	0	81	84	0	1000
0	0	0	82	84	0	1000
0	0	0	83	84	0	1000
0	0	0	95	84	0	1000
0	0	0	96	84	0	1000
0	0	0	97	84	0	1000
0	0	0	98	84	0	1000
0	0	0	99	84	0	1000
0	0	0	100	84	0	1000
0	0	0	101	84	0	1000
0	0	0	102	84	0	1000
0	0	0	103	84	0	1000
0	0	0	106	84	0	1000
0	0	0	113	84	0	1000
0	0	0	114	84	0	1000
0	0	0	115	84	0	1000
0	0	0	116	84	0	1000
0	0	0	117	84	0	1000
0	0	0	118	84	0	1000
0	0	0	119	84	0	1000
0	0	0	120	84	0	1000
0	0	0	121	84	0	1000
0	0	0	122	84	0	1000
