Year	Mean_OccupSuit	Std_error
186	0.000939392	0.00012759
187	0.000935431	0.000125111
188	0.000954106	0.000122984
189	0.000952408	0.00012285
190	0.000941656	0.000126673
191	0.000941656	0.000125653
192	0.000945617	0.000123649
193	0.000921283	0.000122285
194	0.000895818	0.000122613
195	0.000890159	0.000124832
196	0.000912795	0.00013421
197	0.000904872	0.000129169
198	0.000912795	0.00013133
199	0.000895818	0.000130587
200	0.000898082	0.000132341
201	0.000904306	0.000133832
202	0.000896384	0.000132636
203	0.000890725	0.000134282
204	0.000877143	0.000130345
205	0.000863562	0.000132272
206	0.000859035	0.000134257
207	0.000862996	0.000134455
208	0.000860166	0.000134201
209	0.000882236	0.000140699
210	0.000864694	0.000139783
211	0.000881105	0.00013861
212	0.000879407	0.000145628
213	0.000864694	0.000146879
214	0.000874314	0.000150297
215	0.000888461	0.000149458
216	0.000900345	0.000147991
217	0.000882236	0.000145816
218	0.00087488	0.000143846
219	0.000873182	0.000146903
220	0.000855639	0.00014305
221	0.000864128	0.000141656
222	0.000865825	0.000141264
223	0.000898648	0.000147082
224	0.00089695	0.000146637
225	0.00090657	0.000150962
226	0.000895252	0.000148053
227	0.000903741	0.000147267
228	0.000876012	0.0001415
229	0.000860732	0.000138124
230	0.000871484	0.000142472
231	0.000885632	0.000143731
232	0.00089695	0.000145619
233	0.000887895	0.000145197
234	0.000879407	0.000146387
235	0.000892423	0.000147903
236	0.000878275	0.000141374
237	0.000898648	0.000144199
238	0.000878841	0.000142937
239	0.000882802	0.000141501
240	0.000874314	0.000141337
241	0.000898082	0.00014575
242	0.000857903	0.000136897
243	0.000847151	0.000134626
244	0.000852244	0.000139224
245	0.000860732	0.000135947
246	0.000849414	0.000136067
247	0.000853941	0.000136201
248	0.000861298	0.000140108
249	0.000860166	0.000143697
250	0.000871484	0.000147901
251	0.000853376	0.000146926
252	0.000839228	0.000147393
253	0.000855639	0.000146773
254	0.000851678	0.000144975
255	0.000848848	0.000138357
256	0.000851678	0.000141454
257	0.000832437	0.000136306
258	0.000835267	0.000137504
259	0.000833003	0.000140832
260	0.000821119	0.000142225
261	0.00080584	0.000137793
262	0.00080584	0.000136865
263	0.000799049	0.00013031
264	0.000806406	0.000130137
265	0.00079622	0.000126795
266	0.000795654	0.00012945
267	0.000791127	0.000126447
268	0.000807538	0.000129769
269	0.000797352	0.000127626
270	0.000776979	0.000125205
271	0.000766793	0.00012357
272	0.00077132	0.000129349
273	0.000770754	0.000126776
274	0.000772452	0.000123625
275	0.000768491	0.000125672
276	0.000739064	0.000119478
277	0.000748684	0.000121834
278	0.000753211	0.000124681
279	0.000775282	0.000128956
280	0.000776413	0.000130993
281	0.000744157	0.000127393
282	0.000746421	0.000129804
283	0.000735103	0.000127918
284	0.000735103	0.000125436
285	0.000730576	0.000129178
286	0.000740762	0.000130128
287	0.00073963	0.000133573
288	0.000736235	0.000131507
289	0.000750948	0.000135164
290	0.00073963	0.00013184
291	0.000761134	0.000136432
292	0.000727746	0.000131842
293	0.000737366	0.000133113
294	0.000744723	0.000130765
295	0.000737932	0.000134032
296	0.000731707	0.00013744
297	0.000746987	0.000139031
298	0.000735669	0.000135811
299	0.00070511	0.000128825
300	0.000713033	0.000130208
301	0.000718126	0.000132395
302	0.000708505	0.00013734
303	0.000685869	0.000131413
304	0.000671722	0.00013071
305	0.000679645	0.000137737
306	0.000682474	0.00013809
307	0.000671156	0.00013154
308	0.000679645	0.000134791
309	0.000670024	0.000133662
310	0.00065135	0.000133511
311	0.000643427	0.000132451
312	0.000654745	0.000133791
313	0.000642295	0.000130922
314	0.000644559	0.000131663
315	0.000640032	0.000130299
316	0.000650784	0.000133397
317	0.000642861	0.000129347
318	0.000633807	0.000128429
319	0.000657575	0.00013524
320	0.000650218	0.000131743
321	0.000664365	0.000132921
322	0.000666063	0.000134282
323	0.000659838	0.000132161
324	0.000664931	0.000132061
325	0.000655311	0.000132594
326	0.000671156	0.000137197
327	0.000635505	0.000134699
328	0.000621923	0.000134676
329	0.000620225	0.000132158
330	0.000611171	0.0001293
331	0.000603814	0.000127671
332	0.00059193	0.000126849
333	0.000609473	0.000126799
334	0.000601551	0.000123945
335	0.000620225	0.000127407
336	0.000601551	0.000122831
337	0.000584574	0.000119921
338	0.000589667	0.000119433
339	0.000591364	0.000121063
340	0.000596457	0.000120221
341	0.000608341	0.000122196
342	0.000586837	0.000118102
343	0.00060438	0.000123378
344	0.000615698	0.000127185
345	0.000615132	0.000127366
346	0.000618528	0.00012842
347	0.000593628	0.000124361
348	0.000574387	0.000122003
349	0.000577783	0.000123581
350	0.000576085	0.000124228
351	0.000587403	0.000127623
352	0.000573822	0.000123318
353	0.000583442	0.000126699
354	0.000585139	0.000129466
355	0.00056986	0.000125647
356	0.000588535	0.000131259
357	0.000590233	0.000133328
358	0.000584574	0.00013242
359	0.000582876	0.000134662
360	0.000568163	0.000131631
361	0.000567031	0.000128374
362	0.00056986	0.000127849
363	0.000573822	0.00012944
364	0.00057269	0.000130228
365	0.000556845	0.000124148
366	0.000568163	0.00012851
367	0.000576651	0.000134933
368	0.000586837	0.000138496
369	0.000578915	0.000139021
370	0.000576085	0.000141625
371	0.00057269	0.000138444
372	0.000567031	0.000135646
373	0.000567597	0.000134308
374	0.000574953	0.000137119
375	0.000575519	0.000139354
376	0.000565333	0.000137916
377	0.000544961	0.000136748
378	0.000556845	0.000139249
379	0.000554581	0.000140289
380	0.000560806	0.000141385
381	0.000566465	0.000144652
382	0.000561938	0.000143016
383	0.000558542	0.000140633
384	0.000541565	0.000134512
385	0.00053817	0.000135223
386	0.000531945	0.000137783
387	0.00053817	0.000140269
388	0.00053534	0.000140458
389	0.000517232	0.000135687
390	0.000517798	0.000136105
391	0.000522891	0.000135871
392	0.000516666	0.000133346
393	0.000497425	0.000127872
394	0.000499123	0.000128647
395	0.000492898	0.000129213
396	0.000497991	0.000132603
397	0.00051327	0.000139311
398	0.000490068	0.000131656
399	0.000480448	0.000132201
400	0.000489503	0.000134023
401	0.000478185	0.000132721
402	0.000466867	0.000129131
403	0.000465735	0.000127952
404	0.000474223	0.000134617
405	0.000474789	0.000135708
406	0.000464037	0.00013526
407	0.000468564	0.000133539
408	0.000450456	0.000131128
409	0.000441401	0.000129055
410	0.000428385	0.000122532
411	0.000432347	0.000124559
412	0.000425556	0.000119715
413	0.000414804	0.000116581
414	0.000430083	0.000119565
415	0.000418199	0.000117303
416	0.000417068	0.000119455
417	0.000414804	0.000118576
418	0.000422726	0.000122548
419	0.000419897	0.000121073
420	0.0003933	0.000114629
421	0.000421029	0.000119666
422	0.000417068	0.000121027
423	0.000419331	0.00012158
424	0.000408013	0.000119004
425	0.000423292	0.000124192
426	0.000410843	0.000121517
427	0.000424424	0.000126264
428	0.00041254	0.00012324
429	0.000422726	0.000124213
430	0.000409711	0.000123554
431	0.000435742	0.000131738
432	0.000428385	0.000132284
433	0.000432913	0.0001333
434	0.000417633	0.00012652
435	0.000416502	0.000126553
436	0.000411974	0.000122288
437	0.000397827	0.000116252
438	0.000409711	0.000120742
439	0.000401222	0.000116254
440	0.00040575	0.000119697
441	0.000408013	0.000122421
442	0.000403486	0.00011932
443	0.000406315	0.000121471
444	0.000404618	0.000122005
445	0.000382548	0.000115393
446	0.000386509	0.000117199
447	0.000391036	0.000114643
448	0.000397261	0.00012001
449	0.00040292	0.000121562
450	0.00040575	0.000123089
451	0.000400656	0.000120901
452	0.000397827	0.000117671
453	0.000403486	0.000116727
454	0.000401222	0.000115981
455	0.000397261	0.000113918
456	0.000404618	0.000117414
457	0.000405184	0.00012008
458	0.000399525	0.000118589
459	0.000392734	0.000117493
460	0.000400091	0.000120374
461	0.000399525	0.000119491
462	0.000396129	0.00012036
463	0.00040292	0.000121814
464	0.000400656	0.000122673
465	0.00039047	0.000116232
